object_id,district,object_type,cost,start_grid,temperature,cooling_scheme,alpha,iterations,mutate_house_number,mutate_house_number_start,cable_to_cable
0,1,simanneal,36216,original_greedy,900,linear,0.99,20,1,1,FALSE
1,1,simanneal,31581,original_greedy,900,linear,0.99,1000000,1,1,FALSE
2,1,simanneal,45891,original_greedy,900,exponential,0.999,1000,1,1,FALSE
3,1,simanneal,34569,original_greedy,900,exponential,0.991,1000,1,1,FALSE
4,1,simanneal,34488,original_greedy,900,exponential,0.991,1000,2,2,FALSE
5,1,simanneal,35757,original_greedy,900,exponential,0.991,1000,10,10,FALSE
6,1,simanneal,33390,original_greedy,900,exponential,0.991,1000,3,3,FALSE
7,1,simanneal,34551,original_greedy,900,exponential,0.991,1000,4,4,FALSE
8,1,simanneal,34164,original_greedy,900,exponential,0.992,1000,3,3,FALSE
9,1,simanneal,34659,original_greedy,900,exponential,0.993,1000,3,3,FALSE
10,1,simanneal,33939,original_greedy,900,exponential,0.993,1000,3,3,FALSE
11,1,simanneal,33831,original_greedy,900,exponential,0.994,1000,3,3,FALSE
12,1,simanneal,34830,original_greedy,900,exponential,0.995,1000,3,3,FALSE
13,1,simanneal,35181,original_greedy,900,exponential,0.995,1000,3,3,FALSE
14,1,simanneal,34506,original_greedy,900,exponential,0.995,1000,3,3,FALSE
15,1,simanneal,34155,original_greedy,1800,exponential,0.994,1000,3,3,FALSE
16,1,simanneal,34092,original_greedy,1800,exponential,0.994,1000,3,3,FALSE
17,1,simanneal,34983,original_greedy,1800,exponential,0.994,1000,3,3,FALSE
18,1,simanneal,35730,original_greedy,450,exponential,0.994,1000,3,3,FALSE
19,1,simanneal,30861,original_greedy,900,exponential,0.99999,1000000,3,3,FALSE
20,1,simanneal,36621,original_greedy,900,linear,0.99,1000,3.38E-13,20,FALSE
21,1,simanneal,35145,original_greedy,900,exponential,0.994,1000,3.38E-13,20,FALSE
22,1,simanneal,33597,original_greedy,900,exponential,0.994,1000,1.69E-13,10,FALSE
23,1,simanneal,34020,original_greedy,900,exponential,0.994,1000,8.44E-14,5,FALSE
24,1,simanneal,40266,original_greedy,900,linear,0.99,1000,1.69E-13,10,FALSE
25,1,simanneal,40122,original_greedy,900,linear,0.99,1000,8.44E-14,5,FALSE
26,1,simanneal,38655,original_greedy,900,linear,0.99,1000,-2.63E-15,3,FALSE
27,1,simanneal,38691,original_greedy,900,linear,0.99,1000,-1.76E-15,2,FALSE
28,1,simanneal,50058,original_greedy,900,exponential,0.99999,1000,1000,10,FALSE
29,1,simanneal,40293,original_greedy,900,exponential,0.991,1000,1000,10,FALSE
31,1,simanneal,30870,original_greedy,900,exponential,0.99999,1000000,2.09E-10,10,FALSE
36,1,simanneal,30148,10k_original_greedy_ctc,918,exponential,0.99999,1000000,3,3,TRUE
36,2,simanneal,37492,10k_original_greedy_ctc,918,exponential,0.99999,1000,3,3,TRUE
37,2,simanneal,30355,10k_original_greedy_ctc,918,exponential,0.99999,1000000,3,3,TRUE
38,3,simanneal,30868,5k_original_greedy_ctc,918,exponential,0.9999,100000,3,3,TRUE
